device_label,w_um,l_um,corner,temp_c,id_dropout_a,vth_v,ron_ohm,ron_w_ohm_um,cgate_f,implied_w_um_50ma_300mv,implied_w_um_100ma_200mv,id_stress_a,id_stress_a_per_um,vsg_stress_v,vds_stress_v,vdg_stress_v,vsg_exceeds_3p3v_rating
w1u_l0.4u,1.0000,0.4000,ss,125,2.969144e-05,0.5714,10103.9222,10103.9222,1.916760e-15,1683.99,5051.96,2.064480e-04,2.064480e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.4u,1.0000,0.4000,tt,-40,4.799409e-05,0.6845,6250.7696,6250.7696,2.013100e-15,1041.79,3125.38,3.338640e-04,3.338640e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.4u,1.0000,0.4000,tt,27,4.196003e-05,0.6185,7149.6612,7149.6612,2.004200e-15,1191.61,3574.83,3.001500e-04,3.001500e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.4u,1.0000,0.4000,tt,125,3.514273e-05,0.4977,8536.6163,8536.6163,1.992930e-15,1422.77,4268.31,2.559330e-04,2.559330e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.5u,1.0000,0.5000,ff,-40,4.405949e-05,0.6393,6808.9758,6808.9758,2.565070e-15,1134.83,3404.49,3.180170e-04,3.180170e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.5u,1.0000,0.5000,ff,27,3.748129e-05,0.5721,8003.9935,8003.9935,2.553520e-15,1334.00,4002.00,2.755770e-04,2.755770e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.5u,1.0000,0.5000,ff,125,3.036518e-05,0.4491,9879.7373,9879.7373,2.538770e-15,1646.62,4939.87,2.251780e-04,2.251780e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.5u,1.0000,0.5000,fs,-40,3.506060e-05,0.7397,8556.6134,8556.6134,2.416690e-15,1426.10,4278.31,2.461490e-04,2.461490e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.5u,1.0000,0.5000,fs,27,3.017564e-05,0.6713,9941.7941,9941.7941,2.406060e-15,1656.97,4970.90,2.151950e-04,2.151950e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.5u,1.0000,0.5000,fs,125,2.482832e-05,0.5467,12082.9762,12082.9762,2.392840e-15,2013.83,6041.49,1.786860e-04,1.786860e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.5u,1.0000,0.5000,sf,-40,4.096944e-05,0.6730,7322.5311,7322.5311,2.513950e-15,1220.42,3661.27,2.949670e-04,2.949670e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.5u,1.0000,0.5000,sf,27,3.498761e-05,0.6051,8574.4639,8574.4639,2.502690e-15,1429.08,4287.23,2.561110e-04,2.561110e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.5u,1.0000,0.5000,sf,125,2.849411e-05,0.4815,10528.4917,10528.4917,2.488440e-15,1754.75,5264.25,2.101850e-04,2.101850e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.5u,1.0000,0.5000,ss,-40,3.228737e-05,0.7734,9291.5589,9291.5589,2.370350e-15,1548.59,4645.78,2.208750e-04,2.208750e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.5u,1.0000,0.5000,ss,27,2.788992e-05,0.7044,10756.5744,10756.5744,2.360060e-15,1792.76,5378.29,1.939160e-04,1.939160e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.5u,1.0000,0.5000,ss,125,2.305230e-05,0.5791,13013.8858,13013.8858,2.347370e-15,2168.98,6506.94,1.621130e-04,1.621130e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.5u,1.0000,0.5000,tt,-40,3.788439e-05,0.7066,7918.8288,7918.8288,2.464510e-15,1319.80,3959.41,2.703610e-04,2.703610e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.5u,1.0000,0.5000,tt,27,3.248422e-05,0.6383,9235.2533,9235.2533,2.453560e-15,1539.21,4617.63,2.354150e-04,2.354150e-04,3.6300,-3.6300,0.0000,YES
w1u_l0.5u,1.0000,0.5000,tt,125,2.659839e-05,0.5143,11278.8782,11278.8782,2.439820e-15,1879.81,5639.44,1.942600e-04,1.942600e-04,3.6300,-3.6300,0.0000,YES
w1u_l1.0u,1.0000,1.0000,ff,-40,2.090006e-05,0.6827,14354.0258,14354.0258,4.929190e-15,2392.34,7177.01,1.510560e-04,1.510560e-04,3.6300,-3.6300,0.0000,YES
w1u_l1.0u,1.0000,1.0000,ff,27,1.723384e-05,0.6134,17407.6120,17407.6120,4.904260e-15,2901.27,8703.81,1.264600e-04,1.264600e-04,3.6300,-3.6300,0.0000,YES
w1u_l1.0u,1.0000,1.0000,ff,125,1.351513e-05,0.4874,22197.3448,22197.3448,4.872430e-15,3699.56,11098.67,9.991360e-05,9.991360e-05,3.6300,-3.6300,0.0000,YES
w1u_l1.0u,1.0000,1.0000,fs,-40,1.790572e-05,0.7673,16754.4226,16754.4226,4.650760e-15,2792.40,8377.21,1.273330e-04,1.273330e-04,3.6300,-3.6300,0.0000,YES
w1u_l1.0u,1.0000,1.0000,fs,27,1.485601e-05,0.6964,20193.8475,20193.8475,4.627570e-15,3365.64,10096.92,1.072530e-04,1.072530e-04,3.6300,-3.6300,0.0000,YES
w1u_l1.0u,1.0000,1.0000,fs,125,1.175738e-05,0.5682,25515.8887,25515.8887,4.598610e-15,4252.65,12757.94,8.553850e-05,8.553850e-05,3.6300,-3.6300,0.0000,YES
w1u_l1.0u,1.0000,1.0000,sf,-40,1.990353e-05,0.7109,15072.7032,15072.7032,4.833260e-15,2512.12,7536.35,1.434410e-04,1.434410e-04,3.6300,-3.6300,0.0000,YES
w1u_l1.0u,1.0000,1.0000,sf,27,1.644197e-05,0.6409,18245.9888,18245.9888,4.808900e-15,3041.00,9122.99,1.202580e-04,1.202580e-04,3.6300,-3.6300,0.0000,YES
w1u_l1.0u,1.0000,1.0000,sf,125,1.293090e-05,0.5142,23200.2413,23200.2413,4.778010e-15,3866.71,11600.12,9.524890e-05,9.524890e-05,3.6300,-3.6300,0.0000,YES
w1u_l1.0u,1.0000,1.0000,ss,-40,1.691798e-05,0.7955,17732.6135,17732.6135,4.563810e-15,2955.44,8866.31,1.187760e-04,1.187760e-04,3.6300,-3.6300,0.0000,YES
