 1.00000000e+00  1.24414399e+02  1.00000000e+00 -6.49508456e+00 
 1.12201845e+00  1.24401212e+02  1.12201845e+00 -7.28055180e+00 
 1.25892541e+00  1.24384667e+02  1.25892541e+00 -8.15899172e+00 
 1.41253754e+00  1.24363927e+02  1.41253754e+00 -9.14059636e+00 
 1.58489319e+00  1.24337957e+02  1.58489319e+00 -1.02363495e+01 
 1.77827941e+00  1.24305481e+02  1.77827941e+00 -1.14579543e+01 
 1.99526231e+00  1.24264936e+02  1.99526231e+00 -1.28176948e+01 
 2.23872114e+00  1.24214424e+02  2.23872114e+00 -1.43282091e+01 
 2.51188643e+00  1.24151653e+02  2.51188643e+00 -1.60021457e+01 
 2.81838293e+00  1.24073893e+02  2.81838293e+00 -1.78516773e+01 
 3.16227766e+00  1.23977928e+02  3.16227766e+00 -1.98878460e+01 
 3.54813389e+00  1.23860043e+02  3.54813389e+00 -2.21197252e+01 
 3.98107171e+00  1.23716024e+02  3.98107171e+00 -2.45534068e+01 
 4.46683592e+00  1.23541221e+02  4.46683592e+00 -2.71908577e+01 
 5.01187234e+00  1.23330667e+02  5.01187234e+00 -3.00287416e+01 
 5.62341325e+00  1.23079264e+02  5.62341325e+00 -3.30573597e+01 
 6.30957344e+00  1.22782049e+02  6.30957344e+00 -3.62599213e+01 
 7.07945784e+00  1.22434516e+02  7.07945784e+00 -3.96123731e+01 
 7.94328235e+00  1.22032959e+02  7.94328235e+00 -4.30839869e+01 
 8.91250938e+00  1.21574794e+02  8.91250938e+00 -4.66387945e+01 
 1.00000000e+01  1.21058796e+02  1.00000000e+01 -5.02377955e+01 
 1.12201845e+01  1.20485214e+02  1.12201845e+01 -5.38416751e+01 
 1.25892541e+01  1.19855723e+02  1.25892541e+01 -5.74136381e+01 
 1.41253754e+01  1.19173237e+02  1.41253754e+01 -6.09219311e+01 
 1.58489319e+01  1.18441612e+02  1.58489319e+01 -6.43417128e+01 
 1.77827941e+01  1.17665292e+02  1.77827941e+01 -6.76560952e+01 
 1.99526231e+01  1.16848953e+02  1.99526231e+01 -7.08563657e+01 
 2.23872114e+01  1.15997188e+02  2.23872114e+01 -7.39415348e+01 
 2.51188643e+01  1.15114256e+02  2.51188643e+01 -7.69174308e+01 
 2.81838293e+01  1.14203902e+02  2.81838293e+01 -7.97955584e+01 
 3.16227766e+01  1.13269233e+02  3.16227766e+01 -8.25918988e+01 
 3.54813389e+01  1.12312655e+02  3.54813389e+01 -8.53257646e+01 
 3.98107171e+01  1.11335834e+02  3.98107171e+01 -8.80187651e+01 
 4.46683592e+01  1.10339681e+02  4.46683592e+01 -9.06938847e+01 
