 1.00000000e+00  7.48376366e+01 
 1.12201845e+00  7.48375886e+01 
 1.25892541e+00  7.48375282e+01 
 1.41253754e+00  7.48374522e+01 
 1.58489319e+00  7.48373566e+01 
 1.77827941e+00  7.48372361e+01 
 1.99526231e+00  7.48370845e+01 
 2.23872114e+00  7.48368936e+01 
 2.51188643e+00  7.48366533e+01 
 2.81838293e+00  7.48363508e+01 
 3.16227766e+00  7.48359700e+01 
 3.54813389e+00  7.48354907e+01 
 3.98107171e+00  7.48348873e+01 
 4.46683592e+00  7.48341278e+01 
 5.01187234e+00  7.48331719e+01 
 5.62341325e+00  7.48319687e+01 
 6.30957344e+00  7.48304545e+01 
 7.07945784e+00  7.48285489e+01 
 7.94328235e+00  7.48261511e+01 
 8.91250938e+00  7.48231344e+01 
 1.00000000e+01  7.48193396e+01 
 1.12201845e+01  7.48145669e+01 
 1.25892541e+01  7.48085658e+01 
 1.41253754e+01  7.48010227e+01 
 1.58489319e+01  7.47915451e+01 
 1.77827941e+01  7.47796428e+01 
 1.99526231e+01  7.47647050e+01 
 2.23872114e+01  7.47459721e+01 
 2.51188643e+01  7.47225031e+01 
 2.81838293e+01  7.46931366e+01 
 3.16227766e+01  7.46564465e+01 
 3.54813389e+01  7.46106928e+01 
 3.98107171e+01  7.45537693e+01 
 4.46683592e+01  7.44831517e+01 
 5.01187234e+01  7.43958516e+01 
 5.62341325e+01  7.42883850e+01 
 6.30957344e+01  7.41567674e+01 
 7.07945784e+01  7.39965481e+01 
 7.94328235e+01  7.38029011e+01 
 8.91250938e+01  7.35707835e+01 
 1.00000000e+02  7.32951694e+01 
 1.12201845e+02  7.29713494e+01 
 1.25892541e+02  7.25952732e+01 
 1.41253754e+02  7.21638907e+01 
 1.58489319e+02  7.16754368e+01 
 1.77827941e+02  7.11296078e+01 
 1.99526231e+02  7.05275925e+01 
 2.23872114e+02  6.98719510e+01 
 2.51188643e+02  6.91663681e+01 
 2.81838293e+02  6.84153273e+01 
 3.16227766e+02  6.76237632e+01 
 3.54813389e+02  6.67967400e+01 
 3.98107171e+02  6.59391891e+01 
 4.46683592e+02  6.50557205e+01 
 5.01187234e+02  6.41505056e+01 
 5.62341325e+02  6.32272215e+01 
 6.30957344e+02  6.22890413e+01 
 7.07945784e+02  6.13386558e+01 
 7.94328235e+02  6.03783144e+01 
 8.91250938e+02  5.94098742e+01 
 1.00000000e+03  5.84348512e+01 
 1.12201845e+03  5.74544700e+01 
 1.25892541e+03  5.64697077e+01 
 1.41253754e+03  5.54813325e+01 
 1.58489319e+03  5.44899360e+01 
 1.77827941e+03  5.34959592e+01 
 1.99526231e+03  5.24997118e+01 
 2.23872114e+03  5.15013870e+01 
 2.51188643e+03  5.05010700e+01 
 2.81838293e+03  4.94987421e+01 
 3.16227766e+03  4.84942787e+01 
 3.54813389e+03  4.74874432e+01 
 3.98107171e+03  4.64778743e+01 
 4.46683592e+03  4.54650675e+01 
 5.01187234e+03  4.44483496e+01 
 5.62341325e+03  4.34268450e+01 
 6.30957344e+03  4.23994329e+01 
 7.07945784e+03  4.13646942e+01 
 7.94328235e+03  4.03208475e+01 
 8.91250938e+03  3.92656747e+01 
 1.00000000e+04  3.81964397e+01 
 1.12201845e+04  3.71098103e+01 
 1.25892541e+04  3.60018081e+01 
 1.41253754e+04  3.48678404e+01 
 1.58489319e+04  3.37029338e+01 
 1.77827941e+04  3.25024256e+01 
 1.99526231e+04  3.12636590e+01 
 2.23872114e+04  2.99898135e+01 
 2.51188643e+04  2.86980420e+01 
 2.81838293e+04  2.74352187e+01 
 3.16227766e+04  2.63024934e+01 
 3.54813389e+04  2.54732699e+01 
 3.98107171e+04  2.51522276e+01 
 4.46683592e+04  2.54421218e+01 
 5.01187234e+04  2.62498551e+01 
 5.62341325e+04  2.73723182e+01 
 6.30957344e+04  2.86325627e+01 
 7.07945784e+04  2.99258254e+01 
 7.94328235e+04  3.12030613e+01 
 8.91250938e+04  3.24460921e+01 
 1.00000000e+05  3.36513604e+01 
 1.12201845e+05  3.48214783e+01 
 1.25892541e+05  3.59612388e+01 
 1.41253754e+05  3.70758509e+01 
 1.58489319e+05  3.81702248e+01 
 1.77827941e+05  3.92487379e+01 
 1.99526231e+05  4.03152163e+01 
 2.23872114e+05  4.13730097e+01 
 2.51188643e+05  4.24251032e+01 
 2.81838293e+05  4.34742434e+01 
 3.16227766e+05  4.45230727e+01 
 3.54813389e+05  4.55742704e+01 
 3.98107171e+05  4.66307082e+01 
 4.46683592e+05  4.76956271e+01 
 5.01187234e+05  4.87728478e+01 
 5.62341325e+05  4.98670283e+01 
 6.30957344e+05  5.09839810e+01 
 7.07945784e+05  5.21310632e+01 
 7.94328235e+05  5.33176398e+01 
 8.91250938e+05  5.45555949e+01 
 1.00000000e+06  5.58598215e+01 
 1.12201845e+06  5.72485406e+01 
 1.25892541e+06  5.87432125e+01 
 1.41253754e+06  6.03677397e+01 
 1.58489319e+06  6.21467405e+01 
 1.77827941e+06  6.41029770e+01 
 1.99526231e+06  6.62545218e+01 
 2.23872114e+06  6.86126045e+01 
 2.51188643e+06  7.11807921e+01 
 2.81838293e+06  7.39549355e+01 
 3.16227766e+06  7.69212358e+01 
 3.54813389e+06  8.00465768e+01 
 3.98107171e+06  8.32504179e+01 
 4.46683592e+06  8.63479724e+01 
 5.01187234e+06  8.90042063e+01 
 5.62341325e+06  9.08733596e+01 
 6.30957344e+06  9.19408422e+01 
 7.07945784e+06  9.25304753e+01 
 7.94328235e+06  9.29625368e+01 
 8.91250938e+06  9.34057104e+01 
 1.00000000e+07  9.39210691e+01 
 1.12201845e+07  9.45207795e+01 
 1.25892541e+07  9.51991442e+01 
 1.41253754e+07  9.59455590e+01 
 1.58489319e+07  9.67493710e+01 
 1.77827941e+07  9.76014856e+01 
 1.99526231e+07  9.84947137e+01 
 2.23872114e+07  9.94236277e+01 
 2.51188643e+07  1.00384208e+02 
 2.81838293e+07  1.01373370e+02 
 3.16227766e+07  1.02388415e+02 
 3.54813389e+07  1.03426427e+02 
 3.98107171e+07  1.04483684e+02 
 4.46683592e+07  1.05555178e+02 
 5.01187234e+07  1.06634325e+02 
 5.62341325e+07  1.07712948e+02 
 6.30957344e+07  1.08781548e+02 
 7.07945784e+07  1.09829824e+02 
 7.94328235e+07  1.10847325e+02 
 8.91250938e+07  1.11824111e+02 
 1.00000000e+08  1.12751310e+02 
