 1.00000000e+00  1.24414181e+02  1.00000000e+00 -6.69227869e+00 
 1.12201845e+00  1.24400938e+02  1.12201845e+00 -7.50180098e+00 
 1.25892541e+00  1.24384323e+02  1.25892541e+00 -8.40722856e+00 
 1.41253754e+00  1.24363494e+02  1.41253754e+00 -9.41911026e+00 
 1.58489319e+00  1.24337412e+02  1.58489319e+00 -1.05488298e+01 
 1.77827941e+00  1.24304794e+02  1.77827941e+00 -1.18085385e+01 
 1.99526231e+00  1.24264073e+02  1.99526231e+00 -1.32110228e+01 
 2.23872114e+00  1.24213338e+02  2.23872114e+00 -1.47694827e+01 
 2.51188643e+00  1.24150288e+02  2.51188643e+00 -1.64971964e+01 
 2.81838293e+00  1.24072176e+02  2.81838293e+00 -1.84070413e+01 
 3.16227766e+00  1.23975772e+02  3.16227766e+00 -2.05108475e+01 
 3.54813389e+00  1.23857333e+02  3.54813389e+00 -2.28185695e+01 
 3.98107171e+00  1.23712621e+02  3.98107171e+00 -2.53372835e+01 
 4.46683592e+00  1.23536951e+02  4.46683592e+00 -2.80700561e+01 
 5.01187234e+00  1.23325309e+02  5.01187234e+00 -3.10147776e+01 
 5.62341325e+00  1.23072546e+02  5.62341325e+00 -3.41631177e+01 
 6.30957344e+00  1.22773629e+02  6.30957344e+00 -3.74998098e+01 
 7.07945784e+00  1.22423968e+02  7.07945784e+00 -4.10024966e+01 
 7.94328235e+00  1.22019750e+02  7.94328235e+00 -4.46423327e+01 
 8.91250938e+00  1.21558258e+02  8.91250938e+00 -4.83854353e+01 
 1.00000000e+01  1.21038102e+02  1.00000000e+01 -5.21951032e+01 
 1.12201845e+01  1.20459320e+02  1.12201845e+01 -5.60345441e+01 
 1.25892541e+01  1.19823326e+02  1.25892541e+01 -5.98697092e+01 
 1.41253754e+01  1.19132709e+02  1.41253754e+01 -6.36718077e+01 
 1.58489319e+01  1.18390917e+02  1.58489319e+01 -6.74191535e+01 
 1.77827941e+01  1.17601892e+02  1.77827941e+01 -7.10981640e+01 
 1.99526231e+01  1.16769690e+02  1.99526231e+01 -7.47035088e+01 
 2.23872114e+01  1.15898147e+02  2.23872114e+01 -7.82375475e+01 
 2.51188643e+01  1.14990599e+02  2.51188643e+01 -8.17092603e+01 
 2.81838293e+01  1.14049682e+02  2.81838293e+01 -8.51328744e+01 
 3.16227766e+01  1.13077186e+02  3.16227766e+01 -8.85263464e+01 
 3.54813389e+01  1.12073976e+02  3.54813389e+01 -9.19097973e+01 
 3.98107171e+01  1.11039949e+02  3.98107171e+01 -9.53039429e+01 
 4.46683592e+01  1.09974044e+02  4.46683592e+01 -9.87285261e+01 
 5.01187234e+01  1.08874283e+02  5.01187234e+01 -1.02200746e+02 
 5.62341325e+01  1.07737872e+02  5.62341325e+01 -1.05733697e+02 
 6.30957344e+01  1.06561349e+02  6.30957344e+01 -1.09334866e+02 
 7.07945784e+01  1.05340809e+02  7.07945784e+01 -1.13004813e+02 
 7.94328235e+01  1.04072192e+02  7.94328235e+01 -1.16736175e+02 
 8.91250938e+01  1.02751629e+02  8.91250938e+01 -1.20513246e+02 
 1.00000000e+02  1.01375825e+02  1.00000000e+02 -1.24312281e+02 
 1.12201845e+02  9.99424181e+01  1.12201845e+02 -1.28102678e+02 
 1.25892541e+02  9.84502747e+01  1.25892541e+02 -1.31848981e+02 
 1.41253754e+02  9.68996616e+01  1.41253754e+02 -1.35513483e+02 
 1.58489319e+02  9.52922666e+01  1.58489319e+02 -1.39059065e+02 
 1.77827941e+02  9.36310664e+01  1.77827941e+02 -1.42451839e+02 
 1.99526231e+02  9.19200728e+01  1.99526231e+02 -1.45663210e+02 
 2.23872114e+02  9.01640083e+01  2.23872114e+02 -1.48671131e+02 
 2.51188643e+02  8.83679665e+01  2.51188643e+02 -1.51460522e+02 
 2.81838293e+02  8.65371054e+01  2.81838293e+02 -1.54022961e+02 
 3.16227766e+02  8.46764017e+01  3.16227766e+02 -1.56355864e+02 
 3.54813389e+02  8.27904799e+01  3.54813389e+02 -1.58461372e+02 
 3.98107171e+02  8.08835102e+01  3.98107171e+02 -1.60345163e+02 
 4.46683592e+02  7.89591662e+01  4.46683592e+02 -1.62015313e+02 
 5.01187234e+02  7.70206261e+01  5.01187234e+02 -1.63481296e+02 
 5.62341325e+02  7.50706028e+01  5.62341325e+02 -1.64753165e+02 
 6.30957344e+02  7.31113920e+01  6.30957344e+02 -1.65840905e+02 
 7.07945784e+02  7.11449286e+01  7.07945784e+02 -1.66753948e+02 
 7.94328235e+02  6.91728448e+01  7.94328235e+02 -1.67500822e+02 
 8.91250938e+02  6.71965276e+01  8.91250938e+02 -1.68088906e+02 
