 1.00000000e+00  1.22393881e+02  1.00000000e+00 -8.51609281e+00 
 1.12201845e+00  1.22371868e+02  1.12201845e+00 -9.53999345e+00 
 1.25892541e+00  1.22344312e+02  1.25892541e+00 -1.06826965e+01 
 1.41253754e+00  1.22309866e+02  1.41253754e+00 -1.19562786e+01 
 1.58489319e+00  1.22266884e+02  1.58489319e+00 -1.33733734e+01 
 1.77827941e+00  1.22213365e+02  1.77827941e+00 -1.49469204e+01 
 1.99526231e+00  1.22146907e+02  1.99526231e+00 -1.66897906e+01 
 2.23872114e+00  1.22064651e+02  2.23872114e+00 -1.86142628e+01 
 2.51188643e+00  1.21963249e+02  2.51188643e+00 -2.07313260e+01 
 2.81838293e+00  1.21838842e+02  2.81838293e+00 -2.30497995e+01 
 3.16227766e+00  1.21687089e+02  3.16227766e+00 -2.55752848e+01 
 3.54813389e+00  1.21503228e+02  3.54813389e+00 -2.83090080e+01 
 3.98107171e+00  1.21282220e+02  3.98107171e+00 -3.12466604e+01 
 4.46683592e+00  1.21018953e+02  4.46683592e+00 -3.43774100e+01 
 5.01187234e+00  1.20708522e+02  5.01187234e+00 -3.76833002e+01 
 5.62341325e+00  1.20346559e+02  5.62341325e+00 -4.11392673e+01 
 6.30957344e+00  1.19929576e+02  6.30957344e+00 -4.47139507e+01 
 7.07945784e+00  1.19455267e+02  7.07945784e+00 -4.83713502e+01 
 7.94328235e+00  1.18922715e+02  7.94328235e+00 -5.20732043e+01 
 8.91250938e+00  1.18332461e+02  8.91250938e+00 -5.57817853e+01 
 1.00000000e+01  1.17686417e+02  1.00000000e+01 -5.94626975e+01 
 1.12201845e+01  1.16987638e+02  1.12201845e+01 -6.30872601e+01 
 1.25892541e+01  1.16240002e+02  1.25892541e+01 -6.66341704e+01 
 1.41253754e+01  1.15447840e+02  1.41253754e+01 -7.00903170e+01 
 1.58489319e+01  1.14615580e+02  1.58489319e+01 -7.34507904e+01 
 1.77827941e+01  1.13747437e+02  1.77827941e+01 -7.67182583e+01 
 1.99526231e+01  1.12847168e+02  1.99526231e+01 -7.99019265e+01 
 2.23872114e+01  1.11917894e+02  2.23872114e+01 -8.30162882e+01 
 2.51188643e+01  1.10961982e+02  2.51188643e+01 -8.60798151e+01 
 2.81838293e+01  1.09980978e+02  2.81838293e+01 -8.91136787e+01 
