 2.00000000e+00  2.00000000e+00  2.00000000e+00  1.80008890e+00  2.00000000e+00 -2.27886862e-05  2.00000000e+00  2.87095274e-06 
 2.01000000e+00  2.01000000e+00  2.01000000e+00  1.80009078e+00  2.01000000e+00 -2.27897615e-05  2.01000000e+00  2.87095574e-06 
 2.02000000e+00  2.02000000e+00  2.02000000e+00  1.80009263e+00  2.02000000e+00 -2.27907582e-05  2.02000000e+00  2.87095869e-06 
 2.03000000e+00  2.03000000e+00  2.03000000e+00  1.80009447e+00  2.03000000e+00 -2.27917123e-05  2.03000000e+00  2.87096163e-06 
 2.04000000e+00  2.04000000e+00  2.04000000e+00  1.80009630e+00  2.04000000e+00 -2.27926281e-05  2.04000000e+00  2.87096454e-06 
 2.05000000e+00  2.05000000e+00  2.05000000e+00  1.80009812e+00  2.05000000e+00 -2.27935095e-05  2.05000000e+00  2.87096744e-06 
 2.06000000e+00  2.06000000e+00  2.06000000e+00  1.80009992e+00  2.06000000e+00 -2.27943598e-05  2.06000000e+00  2.87097032e-06 
 2.07000000e+00  2.07000000e+00  2.07000000e+00  1.80010172e+00  2.07000000e+00 -2.27951816e-05  2.07000000e+00  2.87097318e-06 
 2.08000000e+00  2.08000000e+00  2.08000000e+00  1.80010350e+00  2.08000000e+00 -2.27959774e-05  2.08000000e+00  2.87097603e-06 
 2.09000000e+00  2.09000000e+00  2.09000000e+00  1.80010528e+00  2.09000000e+00 -2.27967492e-05  2.09000000e+00  2.87097887e-06 
 2.10000000e+00  2.10000000e+00  2.10000000e+00  1.80010705e+00  2.10000000e+00 -2.27974988e-05  2.10000000e+00  2.87098169e-06 
 2.11000000e+00  2.11000000e+00  2.11000000e+00  1.80010881e+00  2.11000000e+00 -2.27982278e-05  2.11000000e+00  2.87098450e-06 
 2.12000000e+00  2.12000000e+00  2.12000000e+00  1.80011057e+00  2.12000000e+00 -2.27989377e-05  2.12000000e+00  2.87098730e-06 
 2.13000000e+00  2.13000000e+00  2.13000000e+00  1.80011232e+00  2.13000000e+00 -2.27996296e-05  2.13000000e+00  2.87099009e-06 
 2.14000000e+00  2.14000000e+00  2.14000000e+00  1.80011406e+00  2.14000000e+00 -2.28003047e-05  2.14000000e+00  2.87099287e-06 
 2.15000000e+00  2.15000000e+00  2.15000000e+00  1.80011580e+00  2.15000000e+00 -2.28009639e-05  2.15000000e+00  2.87099564e-06 
 2.16000000e+00  2.16000000e+00  2.16000000e+00  1.80011753e+00  2.16000000e+00 -2.28016082e-05  2.16000000e+00  2.87099840e-06 
 2.17000000e+00  2.17000000e+00  2.17000000e+00  1.80011925e+00  2.17000000e+00 -2.28022383e-05  2.17000000e+00  2.87100115e-06 
 2.18000000e+00  2.18000000e+00  2.18000000e+00  1.80012097e+00  2.18000000e+00 -2.28028551e-05  2.18000000e+00  2.87100390e-06 
 2.19000000e+00  2.19000000e+00  2.19000000e+00  1.80012269e+00  2.19000000e+00 -2.28034592e-05  2.19000000e+00  2.87100663e-06 
 2.20000000e+00  2.20000000e+00  2.20000000e+00  1.80012440e+00  2.20000000e+00 -2.28040512e-05  2.20000000e+00  2.87100936e-06 
 2.21000000e+00  2.21000000e+00  2.21000000e+00  1.80012611e+00  2.21000000e+00 -2.28046317e-05  2.21000000e+00  2.87101208e-06 
 2.22000000e+00  2.22000000e+00  2.22000000e+00  1.80012781e+00  2.22000000e+00 -2.28052012e-05  2.22000000e+00  2.87101480e-06 
 2.23000000e+00  2.23000000e+00  2.23000000e+00  1.80012951e+00  2.23000000e+00 -2.28057602e-05  2.23000000e+00  2.87101750e-06 
 2.24000000e+00  2.24000000e+00  2.24000000e+00  1.80013120e+00  2.24000000e+00 -2.28063091e-05  2.24000000e+00  2.87102020e-06 
 2.25000000e+00  2.25000000e+00  2.25000000e+00  1.80013289e+00  2.25000000e+00 -2.28068484e-05  2.25000000e+00  2.87102290e-06 
 2.26000000e+00  2.26000000e+00  2.26000000e+00  1.80013457e+00  2.26000000e+00 -2.28073785e-05  2.26000000e+00  2.87102558e-06 
 2.27000000e+00  2.27000000e+00  2.27000000e+00  1.80013625e+00  2.27000000e+00 -2.28078998e-05  2.27000000e+00  2.87102827e-06 
 2.28000000e+00  2.28000000e+00  2.28000000e+00  1.80013793e+00  2.28000000e+00 -2.28084125e-05  2.28000000e+00  2.87103094e-06 
 2.29000000e+00  2.29000000e+00  2.29000000e+00  1.80013961e+00  2.29000000e+00 -2.28089170e-05  2.29000000e+00  2.87103361e-06 
 2.30000000e+00  2.30000000e+00  2.30000000e+00  1.80014128e+00  2.30000000e+00 -2.28094136e-05  2.30000000e+00  2.87103628e-06 
 2.31000000e+00  2.31000000e+00  2.31000000e+00  1.80014295e+00  2.31000000e+00 -2.28099026e-05  2.31000000e+00  2.87103894e-06 
 2.32000000e+00  2.32000000e+00  2.32000000e+00  1.80014461e+00  2.32000000e+00 -2.28103843e-05  2.32000000e+00  2.87104159e-06 
 2.33000000e+00  2.33000000e+00  2.33000000e+00  1.80014627e+00  2.33000000e+00 -2.28108588e-05  2.33000000e+00  2.87104424e-06 
 2.34000000e+00  2.34000000e+00  2.34000000e+00  1.80014793e+00  2.34000000e+00 -2.28113266e-05  2.34000000e+00  2.87104689e-06 
 2.35000000e+00  2.35000000e+00  2.35000000e+00  1.80014959e+00  2.35000000e+00 -2.28117877e-05  2.35000000e+00  2.87104953e-06 
 2.36000000e+00  2.36000000e+00  2.36000000e+00  1.80015124e+00  2.36000000e+00 -2.28122424e-05  2.36000000e+00  2.87105217e-06 
 2.37000000e+00  2.37000000e+00  2.37000000e+00  1.80015289e+00  2.37000000e+00 -2.28126908e-05  2.37000000e+00  2.87105480e-06 
 2.38000000e+00  2.38000000e+00  2.38000000e+00  1.80015454e+00  2.38000000e+00 -2.28131333e-05  2.38000000e+00  2.87105743e-06 
 2.39000000e+00  2.39000000e+00  2.39000000e+00  1.80015619e+00  2.39000000e+00 -2.28135700e-05  2.39000000e+00  2.87106006e-06 
 2.40000000e+00  2.40000000e+00  2.40000000e+00  1.80015783e+00  2.40000000e+00 -2.28140010e-05  2.40000000e+00  2.87106268e-06 
 2.41000000e+00  2.41000000e+00  2.41000000e+00  1.80015947e+00  2.41000000e+00 -2.28144266e-05  2.41000000e+00  2.87106529e-06 
 2.42000000e+00  2.42000000e+00  2.42000000e+00  1.80016111e+00  2.42000000e+00 -2.28148468e-05  2.42000000e+00  2.87106791e-06 
 2.43000000e+00  2.43000000e+00  2.43000000e+00  1.80016275e+00  2.43000000e+00 -2.28152619e-05  2.43000000e+00  2.87107052e-06 
 2.44000000e+00  2.44000000e+00  2.44000000e+00  1.80016438e+00  2.44000000e+00 -2.28156719e-05  2.44000000e+00  2.87107313e-06 
 2.45000000e+00  2.45000000e+00  2.45000000e+00  1.80016601e+00  2.45000000e+00 -2.28160771e-05  2.45000000e+00  2.87107573e-06 
 2.46000000e+00  2.46000000e+00  2.46000000e+00  1.80016765e+00  2.46000000e+00 -2.28164776e-05  2.46000000e+00  2.87107833e-06 
 2.47000000e+00  2.47000000e+00  2.47000000e+00  1.80016927e+00  2.47000000e+00 -2.28168734e-05  2.47000000e+00  2.87108093e-06 
 2.48000000e+00  2.48000000e+00  2.48000000e+00  1.80017090e+00  2.48000000e+00 -2.28172647e-05  2.48000000e+00  2.87108352e-06 
 2.49000000e+00  2.49000000e+00  2.49000000e+00  1.80017253e+00  2.49000000e+00 -2.28176517e-05  2.49000000e+00  2.87108612e-06 
 2.50000000e+00  2.50000000e+00  2.50000000e+00  1.80017415e+00  2.50000000e+00 -2.28180344e-05  2.50000000e+00  2.87108871e-06 
 2.51000000e+00  2.51000000e+00  2.51000000e+00  1.80017577e+00  2.51000000e+00 -2.28184130e-05  2.51000000e+00  2.87109130e-06 
 2.52000000e+00  2.52000000e+00  2.52000000e+00  1.80017740e+00  2.52000000e+00 -2.28187875e-05  2.52000000e+00  2.87109388e-06 
 2.53000000e+00  2.53000000e+00  2.53000000e+00  1.80017902e+00  2.53000000e+00 -2.28191581e-05  2.53000000e+00  2.87109647e-06 
