 1.00000000e+00  1.24031919e+02  1.00000000e+00 -7.63051931e+00 
 1.12201845e+00  1.24014828e+02  1.12201845e+00 -8.55123047e+00 
 1.25892541e+00  1.23993407e+02  1.25892541e+00 -9.58009153e+00 
 1.41253754e+00  1.23966587e+02  1.41253754e+00 -1.07286272e+01 
 1.58489319e+00  1.23933053e+02  1.58489319e+00 -1.20091228e+01 
 1.77827941e+00  1.23891197e+02  1.77827941e+00 -1.34344825e+01 
 1.99526231e+00  1.23839062e+02  1.99526231e+00 -1.50179965e+01 
 2.23872114e+00  1.23774294e+02  2.23872114e+00 -1.67729901e+01 
 2.51188643e+00  1.23694088e+02  2.51188643e+00 -1.87123261e+01 
 2.81838293e+00  1.23595149e+02  2.81838293e+00 -2.08477379e+01 
 3.16227766e+00  1.23473669e+02  3.16227766e+00 -2.31889792e+01 
 3.54813389e+00  1.23325348e+02  3.54813389e+00 -2.57428045e+01 
 3.98107171e+00  1.23145448e+02  3.98107171e+00 -2.85118271e+01 
 4.46683592e+00  1.22928922e+02  4.46683592e+00 -3.14933597e+01 
 5.01187234e+00  1.22670611e+02  5.01187234e+00 -3.46783994e+01 
 5.62341325e+00  1.22365511e+02  5.62341325e+00 -3.80509691e+01 
 6.30957344e+00  1.22009095e+02  6.30957344e+00 -4.15880479e+01 
 7.07945784e+00  1.21597655e+02  7.07945784e+00 -4.52602757e+01 
 7.94328235e+00  1.21128606e+02  7.94328235e+00 -4.90335067e+01 
 8.91250938e+00  1.20600709e+02  8.91250938e+00 -5.28711082e+01 
 1.00000000e+01  1.20014146e+02  1.00000000e+01 -5.67367225e+01 
 1.12201845e+01  1.19370454e+02  1.12201845e+01 -6.05970836e+01 
 1.25892541e+01  1.18672300e+02  1.25892541e+01 -6.44244617e+01 
 1.41253754e+01  1.17923161e+02  1.41253754e+01 -6.81984061e+01 
 1.58489319e+01  1.17126947e+02  1.58489319e+01 -7.19066268e+01 
 1.77827941e+01  1.16287625e+02  1.77827941e+01 -7.55450327e+01 
 1.99526231e+01  1.15408887e+02  1.99526231e+01 -7.91170754e+01 
 2.23872114e+01  1.14493881e+02  2.23872114e+01 -8.26326033e+01 
 2.51188643e+01  1.13545013e+02  2.51188643e+01 -8.61064264e+01 
 2.81838293e+01  1.12563815e+02  2.81838293e+01 -8.95567409e+01 
 3.16227766e+01  1.11550863e+02  3.16227766e+01 -9.30035050e+01 
 3.54813389e+01  1.10505760e+02  3.54813389e+01 -9.64668043e+01 
 3.98107171e+01  1.09427146e+02  3.98107171e+01 -9.99652173e+01 
 4.46683592e+01  1.08312767e+02  4.46683592e+01 -1.03514186e+02 
 5.01187234e+01  1.07159600e+02  5.01187234e+01 -1.07124426e+02 
 5.62341325e+01  1.05964035e+02  5.62341325e+01 -1.10800454e+02 
 6.30957344e+01  1.04722132e+02  6.30957344e+01 -1.14539369e+02 
 7.07945784e+01  1.03429947e+02  7.07945784e+01 -1.18330094e+02 
 7.94328235e+01  1.02083895e+02  7.94328235e+01 -1.22153260e+02 
 8.91250938e+01  1.00681135e+02  8.91250938e+01 -1.25981931e+02 
 1.00000000e+02  9.92199073e+01  1.00000000e+02 -1.29783179e+02 
 1.12201845e+02  9.76997715e+01  1.12201845e+02 -1.33520425e+02 
 1.25892541e+02  9.61217130e+01  1.25892541e+02 -1.37156201e+02 
 1.41253754e+02  9.44880865e+01  1.41253754e+02 -1.40654950e+02 
 1.58489319e+02  9.28024215e+01  1.58489319e+02 -1.43985424e+02 
 1.77827941e+02  9.10691271e+01  1.77827941e+02 -1.47122378e+02 
