corner,temp_c,iq_a,vout_no_load_v,line_reg_in_regulation,line_reg_mv_per_v,dropout_v_50ma,dropout_v_50ma_floor,vout_at_vinmax_50ma_v,load_reg_pct,dc_gain_db,n_0db_crossings,unity_gain_freq_hz,phase_margin_deg,phase_margin_worst_deg,n_gain_margin_crossings,gain_margin_freq_hz,gain_margin_db,psrr_db_1khz,psrr_db_100khz
tt,-40,1.69944145e-05,1.80023675,True,0.15480303030288114,1.49,0.19999999999999996,1.79987151,0.023212934413693577,123.005858,2,57476.52457921143,0.2870682671358793,-89.5419586691147,1,76570.34441960015,4.983688564351706,69.2238594,36.2305847
tt,27,1.69904985e-05,1.80027658,True,0.1624696969697178,1.68,0.19999999999999996,1.79981805,0.028577498243743015,122.386364,2,49889.62084111867,0.25675505509030927,-89.31999578103483,1,65279.35295435064,4.671277914283223,67.8818664,38.1199675
tt,125,1.69669464e-05,1.80036721,True,0.18880303030315235,,0.19999999999999996,1.22867862,31.756522965501553,120.904755,2,41032.41819019996,0.24729236745250205,-88.95572099900738,1,53302.209424145636,4.5451837890821905,65.9850423,40.3327902
ss,-40,1.6993786e-05,1.80021581,True,0.15112121212123464,1.8099999999999998,0.19999999999999996,1.7987899,0.08204894051826805,123.055385,2,56173.97033066753,0.2866798554267689,-89.35568732264989,1,75309.73093495658,5.093503337116216,69.1104494,36.6529444
ss,27,1.6990724e-05,1.80025527,True,0.1578787878791225,,0.19999999999999996,1.00802398,44.00829244124209,122.45196,2,48803.50964095531,0.2543503193747938,-89.1025357966709,1,64222.841950385024,4.7701609650142665,67.7665855,38.4690372
ss,125,1.69770363e-05,1.80033894,True,0.1805454545456335,,0.19999999999999996,-2.67207703,248.41555053975077,121.063203,2,40186.8047556216,0.23927848613226388,-88.70066620991724,1,52186.10852866537,4.5392901362472315,65.8794631,40.6216703
ff,-40,1.69947282e-05,1.8002603,True,0.15943939393932763,1.2899999999999998,0.19999999999999996,1.7999334,0.0211829624726288,122.900984,2,58768.70118047063,0.29011615947689506,-89.71861244047261,1,77940.83849552964,4.905673289727506,69.3192509,35.8060308
ff,27,1.69895853e-05,1.80030086,True,0.16816666666671676,1.4599999999999997,0.19999999999999996,1.79991084,0.02489447896401983,122.260431,2,50971.25014995288,0.26123328856908756,-89.52701526342929,1,66458.14979705443,4.6096005551136425,67.9822342,37.7712251
ff,125,1.69375788e-05,1.80040498,True,0.19959090909073576,1.7299999999999998,0.19999999999999996,1.79976819,0.039292394980692036,120.651648,2,41876.94715885449,0.26067592926349903,-89.20184219424243,1,54628.65638147861,4.618318091326691,66.0743903,40.0457551
sf,-40,1.69945821e-05,1.80023232,True,0.15234848484845015,1.3800000000000001,0.19999999999999996,1.79990037,0.02132441006107783,123.224194,2,58120.368377740146,0.2690875815475806,-89.65312381085766,1,76080.14982508209,4.678565593995837,69.3224721,36.020053
sf,27,1.69901124e-05,1.80027227,True,0.16045454545470178,1.5599999999999998,0.19999999999999996,1.79987142,0.02534316419553057,122.586516,2,50428.99594918462,0.24070159828480087,-89.4414310479097,1,64908.33433173677,4.385431492139568,67.9700042,37.9465585
sf,125,1.69563438e-05,1.80036349,True,0.1870151515150371,1.8299999999999998,0.19999999999999996,1.78901744,0.633857608206391,121.103962,2,41456.27815610925,0.23175558746103775,-89.08918902433106,1,52982.335780750574,4.262075136749772,66.0660015,40.1893995
fs,-40,1.6994154e-05,1.8002422,True,0.1576818181820041,1.6199999999999999,0.19999999999999996,1.79982648,0.026064051444093544,122.764652,2,56814.38327971654,0.306222220868392,-89.42853052564334,1,77076.4058694505,5.299450986230046,69.117516,36.4448724
fs,27,1.69906968e-05,1.80028202,True,0.16493939393954468,1.82,0.19999999999999996,1.79567524,0.25903181584127444,122.161889,2,49337.5181331721,0.2737010145499994,-89.19623287662108,1,65675.80512212333,4.969800628492807,67.7873723,38.2964791
fs,125,1.69731566e-05,1.80037361,True,0.1913939393937911,,0.19999999999999996,-0.289481762,116.07838153290595,120.670445,2,40601.02252816518,0.26470048372769384,-88.8206263075046,1,53677.475184229035,4.850682052550843,65.8981886,40.4786037
