sweep,point,dc_gain_db,n_0db_crossings,unity_gain_freq_hz,phase_margin_deg,phase_margin_worst_deg,n_gain_margin_crossings,gain_margin_freq_hz,gain_margin_db
cc_value,0.5x,122.386385,2,71299.79336752418,0.34890101157887443,-89.90849208385129,1,91894.71484790175,4.409318210361279
cc_value,1x,122.386364,2,49889.62084111867,0.25675505509030927,-89.31999578103483,1,65279.35295435064,4.671277914283223
cc_value,2x,122.386282,2,35095.32108195231,0.18970327997968184,-89.02059542746514,1,46549.72882800894,4.907062940662158
rz_corner,bcs,122.386364,2,49889.76305329123,0.2228429815264974,-89.38959767423626,1,62818.39650123153,4.003532950906186
rz_corner,typ,122.386364,2,49889.62084111867,0.25675505509030927,-89.31999578103483,1,65279.35295435064,4.671277914283223
rz_corner,wcs,122.386364,2,49889.48753009147,0.2906658414595711,-89.25802021357549,1,68012.77176072414,5.3840616089936475
