corner,temp_c,res_section,iq_a,vout_no_load_v,i_divider_a,r_divider_leg_ohm,line_reg_in_regulation,line_reg_mv_per_v,dropout_v_50ma,dropout_v_50ma_floor,vout_at_vinmax_50ma_v,load_reg_pct,dc_gain_db,n_0db_crossings,unity_gain_freq_hz,phase_margin_deg,phase_margin_worst_deg,n_gain_margin_crossings,gain_margin_freq_hz,gain_margin_db,psrr_db_1khz,psrr_db_100khz
tt,-40,res_typ,2.24488956e-05,1.80025256,2.46768146e-06,364765.9937437792,True,0.16727272727282735,0.19999999999999996,0.19999999999999996,1.80016861,0.00785142576226374,124.458303,2,136661.6815990547,72.29840260853177,-162.52289992259597,1,891388.809201748,16.904594801864743,61.7031732,35.0846612
tt,-40,res_bcs,2.32720498e-05,1.80025107,3.28967959e-06,273621.03523279604,True,0.16690909090904596,0.19999999999999996,0.19999999999999996,1.8001686,0.007760337450201244,124.390625,1,105735.75376314216,68.07983396387372,68.07983396387372,1,960304.4085879462,20.333193421508692,61.7175265,33.2032444
tt,-40,res_wcs,2.19546506e-05,1.80025371,1.97434796e-06,455910.9504689336,True,0.16756060606063872,0.19999999999999996,0.19999999999999996,1.80016861,0.007922518997328066,124.499207,2,168576.2678457136,72.78879476550733,-164.56010023253242,1,832818.2724742519,14.157165435126062,61.6898879,36.7149263
tt,27,res_typ,2.28404209e-05,1.80030601,2.87129901e-06,313500.26655705215,True,0.17931818181808157,0.19999999999999996,0.19999999999999996,1.8001973,0.00950583203957733,123.796571,1,89566.21881617642,68.40969661517668,68.40969661517668,1,873837.1914556181,20.596696819421602,60.2791798,33.8381667
tt,27,res_bcs,2.37990811e-05,1.80030382,3.82774283e-06,235165.20047925998,True,0.17860606060625106,0.19999999999999996,0.19999999999999996,1.8001973,0.009366984580926541,123.709119,1,72026.95944097958,59.97736638091145,59.97736638091145,1,933277.3305701521,24.062553521457364,60.2901832,32.6803591
tt,27,res_wcs,2.22645974e-05,1.80030773,2.29727589e-06,391835.3337177974,True,0.17987878787898132,0.19999999999999996,0.19999999999999996,1.8001973,0.009614688177501536,123.849517,2,109009.5814833737,72.34978318160886,-164.2252079255531,1,823520.3743457012,17.86189318459618,60.2689623,34.9985591
tt,125,res_typ,2.33321828e-05,1.80045477,3.61304785e-06,249160.10591999217,True,0.2186818181816892,0.20999999999999974,0.19999999999999996,1.80025355,0.015507632221540375,122.100759,1,53212.131048179144,54.91296594414467,54.91296594414467,1,823661.5237107405,25.900383712478074,58.3498302,34.0849544
tt,125,res_bcs,2.46101693e-05,1.80043882,4.81653506e-06,186901.87007587153,True,0.21587878787887269,0.20999999999999974,0.19999999999999996,1.80025355,0.014563604738656618,121.974607,1,46812.61827576281,43.929005691275705,43.929005691275705,1,866795.4104312605,29.387185335943247,58.3579045,33.7375198
tt,125,res_wcs,2.25287459e-05,1.80047123,2.89075978e-06,311418.3410286689,True,0.2212575757572685,0.20999999999999974,0.19999999999999996,1.80025355,0.016474408949813214,122.177453,1,61284.85901616546,62.87476171301667,62.87476171301667,1,785247.967190174,23.213282317752473,58.342254,34.5106326
ss,-40,res_typ,2.24488523e-05,1.80022931,2.4676496e-06,364765.9923029591,True,0.16260606060626198,0.19999999999999996,0.19999999999999996,1.80014429,0.007808208752037027,124.661808,1,131542.5717841643,72.4341718032544,72.4341718032544,1,900019.5845994076,17.23742254494709,61.5448402,35.0248629
