corner,temp_c,res_section,metric,unit,before,after,delta
tt,-40,res_typ,phase_margin_deg,deg,72.29840260853177,76.19147145878372,3.89306885025195
tt,-40,res_typ,gain_margin_db,dB,16.904594801864743,16.94887992294004,0.044285121075297695
tt,-40,res_typ,unity_gain_freq_hz,kHz,136661.6815990547,134347.4873733773,-2314.1942256773764
tt,-40,res_typ,dc_gain_db,dB,124.458303,124.458085,-0.00021800000000382624
tt,-40,res_typ,psrr_db_1khz,dB,61.7031732,57.1986287,-4.5045445000000015
tt,-40,res_typ,psrr_db_100khz,dB,35.0846612,35.4054753,0.32081409999999977
tt,-40,res_typ,iq_a,uA,2.24488956e-05,2.24488955e-05,-1.0000000163329879e-13
tt,-40,res_typ,dropout_v_50ma,V,0.19999999999999996,0.19999999999999996,0.0
tt,-40,res_typ,line_reg_mv_per_v,mV/V,0.16727272727282735,0.16727272727282735,0.0
tt,-40,res_typ,load_reg_pct,%,0.00785142576226374,0.00785142576226374,0.0
tt,-40,res_typ,vout_no_load_v,V,1.80025256,1.80025256,0.0
tt,-40,res_typ,i_divider_a,uA,2.46768146e-06,2.46768146e-06,0.0
tt,-40,res_bcs,phase_margin_deg,deg,68.07983396387372,74.35931315938966,6.279479195515933
tt,-40,res_bcs,gain_margin_db,dB,20.333193421508692,20.403446538024024,0.07025311651533173
tt,-40,res_bcs,unity_gain_freq_hz,kHz,105735.75376314216,102285.17148988461,-3450.582273257547
tt,-40,res_bcs,dc_gain_db,dB,124.390625,124.390409,-0.0002159999999946649
tt,-40,res_bcs,psrr_db_1khz,dB,61.7175265,57.2066008,-4.510925700000001
tt,-40,res_bcs,psrr_db_100khz,dB,33.2032444,33.7331763,0.529931899999994
tt,-40,res_bcs,iq_a,uA,2.32720498e-05,2.32720498e-05,0.0
tt,-40,res_bcs,dropout_v_50ma,V,0.19999999999999996,0.19999999999999996,0.0
tt,-40,res_bcs,line_reg_mv_per_v,mV/V,0.16690909090904596,0.16690909090904596,0.0
tt,-40,res_bcs,load_reg_pct,%,0.007760337450201244,0.007760337450201244,0.0
tt,-40,res_bcs,vout_no_load_v,V,1.80025107,1.80025107,0.0
tt,-40,res_bcs,i_divider_a,uA,3.28967959e-06,3.28967959e-06,0.0
tt,-40,res_wcs,phase_margin_deg,deg,72.78879476550733,75.41744841004065,2.6286536445333155
tt,-40,res_wcs,gain_margin_db,dB,14.157165435126062,14.199491850952004,0.042326415825941766
tt,-40,res_wcs,unity_gain_freq_hz,kHz,168576.2678457136,166574.79032319342,-2001.4775225201738
tt,-40,res_wcs,dc_gain_db,dB,124.499207,124.498989,-0.00021800000000382624
tt,-40,res_wcs,psrr_db_1khz,dB,61.6898879,57.1935977,-4.496290200000004
tt,-40,res_wcs,psrr_db_100khz,dB,36.7149263,36.910832,0.1959056999999973
tt,-40,res_wcs,iq_a,uA,2.19546506e-05,2.19546506e-05,0.0
tt,-40,res_wcs,dropout_v_50ma,V,0.19999999999999996,0.19999999999999996,0.0
tt,-40,res_wcs,line_reg_mv_per_v,mV/V,0.16756060606063872,0.16756060606063872,0.0
tt,-40,res_wcs,load_reg_pct,%,0.007922518997328066,0.007922518997328066,0.0
tt,-40,res_wcs,vout_no_load_v,V,1.80025371,1.80025371,0.0
tt,-40,res_wcs,i_divider_a,uA,1.97434796e-06,1.97434796e-06,0.0
tt,27,res_typ,phase_margin_deg,deg,68.40969661517668,74.78847390761271,6.378777292436027
tt,27,res_typ,gain_margin_db,dB,20.596696819421602,20.662419814862005,0.06572299544040305
tt,27,res_typ,unity_gain_freq_hz,kHz,89566.21881617642,86529.23450335066,-3036.9843128257635
tt,27,res_typ,dc_gain_db,dB,123.796571,123.796296,-0.0002750000000020236
tt,27,res_typ,psrr_db_1khz,dB,60.2791798,55.7457339,-4.533445900000004
tt,27,res_typ,psrr_db_100khz,dB,33.8381667,34.3263453,0.4881785999999977
tt,27,res_typ,iq_a,uA,2.28404209e-05,2.28404208e-05,-1.0000000163329879e-13
tt,27,res_typ,dropout_v_50ma,V,0.19999999999999996,0.19999999999999996,0.0
tt,27,res_typ,line_reg_mv_per_v,mV/V,0.17931818181808157,0.17931818181808157,0.0
tt,27,res_typ,load_reg_pct,%,0.00950583203957733,0.00950583203957733,0.0
tt,27,res_typ,vout_no_load_v,V,1.80030601,1.80030601,0.0
tt,27,res_typ,i_divider_a,uA,2.87129901e-06,2.87129901e-06,0.0
tt,27,res_bcs,phase_margin_deg,deg,59.97736638091145,69.0468918009376,9.069525420026153
tt,27,res_bcs,gain_margin_db,dB,24.062553521457364,24.142289634958807,0.07973611350144338
tt,27,res_bcs,unity_gain_freq_hz,kHz,72026.95944097958,67112.41599512992,-4914.54344584966
