corner,temp_c,iq_a,vout_no_load_v,line_reg_in_regulation,line_reg_mv_per_v,dropout_v_50ma,dropout_v_50ma_floor,vout_at_vinmax_50ma_v,load_reg_pct,dc_gain_db,n_0db_crossings,unity_gain_freq_hz,phase_margin_deg,phase_margin_worst_deg,n_gain_margin_crossings,gain_margin_freq_hz,gain_margin_db,psrr_db_1khz,psrr_db_100khz
tt,-40,2.29824173e-05,1.80024898,True,0.1670303030305307,0.19999999999999996,0.19999999999999996,1.80016604,0.007789230218044259,124.414362,2,136844.50621589608,72.59899884839513,-100.28338575055744,1,942068.773216402,17.397799944022932,61.7032466,35.1083157
tt,27,2.29699736e-05,1.80030311,True,0.1792121212119927,0.19999999999999996,0.19999999999999996,1.80019473,0.009484740790039555,123.784728,2,89590.66909407216,68.56799844201848,-98.10347194852864,1,893624.9041355391,20.75665864179023,60.2792099,33.8574489
tt,125,2.26540895e-05,1.8004656,True,0.22080303030313053,0.20999999999999974,0.19999999999999996,1.80025099,0.01629451643951975,122.16575,2,53187.474777011725,54.966322363556046,-95.71689852905456,1,787993.3981326517,25.503632064315106,58.3498207,34.0964136
ss,-40,2.29822839e-05,1.80022577,True,0.1623939393940842,0.19999999999999996,0.19999999999999996,1.80014172,0.007748233955073044,124.61716,2,131710.33872997173,72.72207178180632,-99.53792051304117,1,951736.3375179266,17.74244725564453,61.5449074,35.0486365
ss,27,2.29725754e-05,1.80027876,True,0.17330303030281596,0.19999999999999996,0.19999999999999996,1.80017019,0.009366014833616385,124.032223,2,86557.53119882605,68.28078717848216,-97.47304533330964,1,902119.0271502892,21.081802895552126,60.1270583,33.9048609
ss,125,2.28660924e-05,1.80039899,True,0.20718181818160242,0.24,0.19999999999999996,1.80022299,0.013870246253992012,122.587778,2,51776.53056122476,54.40193751202328,-95.21606320883382,1,795428.0277252313,25.87072735028618,58.2092697,34.2442761
ff,-40,2.29818068e-05,1.80027522,True,0.1727878787881038,0.19999999999999996,0.19999999999999996,1.8001927,0.007889643900337414,124.153819,2,141980.52959521496,72.43047567178992,-101.06237958019733,1,931531.5816878958,17.065745391729973,61.8502763,35.1702569
ff,27,2.29646239e-05,1.80033119,True,0.18645454545481024,0.19999999999999996,0.19999999999999996,1.80022183,0.00969453187689816,123.471345,2,92672.55082545834,68.7688955186274,-98.7690134743952,1,883588.8882885545,20.406669899184088,60.4224352,33.8168418
ff,125,2.1874756e-05,1.80064296,True,0.2448939393939754,0.19999999999999996,0.19999999999999996,1.80028318,0.024828815562535137,121.609557,2,54594.051078131924,55.504455973285616,-96.25831042426637,1,779481.6326818055,25.135522717934844,58.4819248,33.9534483
sf,-40,2.29821778e-05,1.80024386,True,0.16442424242415968,0.19999999999999996,0.19999999999999996,1.80016379,0.007588733482536989,124.569582,2,139427.7594743893,72.51721272445924,-100.76493743100207,1,933602.6312803044,17.163294458017848,61.7903748,35.1393826
sf,27,2.29677296e-05,1.800298,True,0.17709090909088776,0.19999999999999996,0.19999999999999996,1.80019261,0.00928758785562445,123.907198,2,91133.97410329076,68.66301715185494,-98.51558635012645,1,885757.8405994312,20.518751635137413,60.3612997,33.8357864
sf,125,2.23766975e-05,1.80050477,True,0.22262121212136463,0.19999999999999996,0.19999999999999996,1.80024793,0.01867838175303075,122.228982,2,53897.845371826246,55.22972548785464,-96.0535246661504,1,781791.107678417,25.256457221275344,58.4268173,34.0235033
fs,-40,2.29824459e-05,1.80025528,True,0.17012121212149503,0.19999999999999996,0.19999999999999996,1.80016905,0.008021936313126289,124.233841,2,134185.8309694301,72.66939357185281,-99.8090174618722,1,950220.5770730034,17.641618188673732,61.6101661,35.0760571
fs,27,2.2971519e-05,1.8003096,True,0.1818787878789379,0.19999999999999996,0.19999999999999996,1.8001977,0.009722431145009182,123.634123,2,88026.11474559117,68.43591169168552,-97.69820670458978,1,900680.5918921003,20.97666787164517,60.192349,33.8807314
fs,125,2.27944144e-05,1.80045154,True,0.22159090909093107,0.21999999999999997,0.19999999999999996,1.80025533,0.015281607451599587,122.053992,2,52459.51038524344,54.68861596850553,-95.39444613587722,1,793811.4495103698,25.756768919097663,58.2687763,34.1718421
