corner,temp_c,res_section,phase_margin_deg_behavioural_divider,phase_margin_deg_rhigh_divider,phase_margin_deg_divider_delta,gain_margin_db_behavioural_divider,gain_margin_db_rhigh_divider,gain_margin_db_divider_delta,dc_gain_db_behavioural_divider,dc_gain_db_rhigh_divider,dc_gain_db_divider_delta
tt,-40,res_typ,76.47803416642783,76.19147145878372,-0.2865627076441086,17.44506921068451,16.94887992294004,-0.49618928774447113,124.414181,124.458085,0.04390399999999772
tt,-40,res_bcs,74.5015701789448,74.35931315938966,-0.1422570195551458,20.176937068047753,20.403446538024024,0.2265094699762713,124.414183,124.390409,-0.02377399999998886
tt,-40,res_wcs,75.9019297123905,75.41744841004065,-0.4844813023498489,15.33584717524824,14.199491850952004,-1.136355324296236,124.41418,124.498989,0.0848089999999928
tt,27,res_typ,74.93819206858339,74.78847390761271,-0.14971816097067858,20.804240745786306,20.662419814862005,-0.14182093092430037,123.784454,123.796296,0.011842000000001462
tt,27,res_bcs,69.10940584721362,69.0468918009376,-0.06251404627602142,23.598787874394365,24.142289634958807,0.5435017605644425,123.784455,123.708845,-0.07560999999999751
tt,27,res_wcs,77.05530572538929,76.8048773961361,-0.25042832925318237,18.6613236634554,17.906791289051593,-0.754532374403805,123.784452,123.849242,0.06479000000000212
tt,125,res_typ,65.03054098018708,64.98260238599778,-0.04793859418930424,25.605562549455435,25.97915455323377,0.37359200377833446,122.165429,122.100439,-0.06499000000000876
tt,125,res_bcs,54.484319137125155,54.48993863842924,0.005619501304082064,28.39251813947492,29.52263567561858,1.1301175361436613,122.16543,121.974287,-0.19114299999999673
tt,125,res_wcs,71.40403166613261,71.30438052591472,-0.09965114021788679,23.361934657778185,23.28614371414092,-0.07579094363726568,122.165428,122.177132,0.011703999999994608
ss,-40,res_typ,76.74353497957303,76.46966191735291,-0.27387306222011887,17.78900600378196,17.281292817908614,-0.5077131858733459,124.616922,124.66157,0.044647999999995136
ss,-40,res_bcs,74.4543628973525,74.31797607791069,-0.1363868194418103,20.54210809834627,20.77283093114096,0.2307228327946902,124.616924,124.592749,-0.024174999999999613
ss,-40,res_wcs,76.42644892646258,75.96842456856234,-0.45802435790024276,15.66004067446965,14.542487205258299,-1.1175534692113516,124.616921,124.703169,0.08624799999999766
ss,27,res_typ,74.83541496543978,74.69107931044654,-0.14433565499324175,21.129385637665823,21.028355736174564,-0.10102990149125901,124.03192,124.043946,0.012026000000005865
