cc_w,cc_x_nominal,corner,temp_c,res_section,dc_gain_db,n_0db_crossings,unity_gain_freq_hz,phase_margin_deg,gain_margin_db,psrr_db_1khz,psrr_db_100khz,pm_ok,gm_ok,psrr_1khz_ok,psrr_100khz_ok,all_ok
85e-6,0.5,ss,125,res_bcs,122.394073,1,48404.865079105104,40.29400053995161,29.684306974831642,59.6074851,33.6698955,False,True,True,True,False
85e-6,0.5,ss,125,res_wcs,122.5997,1,61225.25852162992,59.38878599194837,23.526174293997762,59.5918988,34.4341193,True,True,True,True,True
110e-6,0.6470588235294117,ss,125,res_bcs,122.393977,1,44330.893559777796,45.14669835408668,29.789864642263616,57.4206516,34.0293738,True,True,True,True,True
110e-6,0.6470588235294117,ss,125,res_wcs,122.599603,1,58668.01660925495,64.0775030582354,23.5909617152452,57.4067961,34.7274743,True,True,True,True,True
130e-6,0.764705882352941,ss,125,res_bcs,122.393881,1,42071.06722993437,48.50289904402777,29.841795296297207,55.9570622,34.2163252,True,True,True,True,True
130e-6,0.764705882352941,ss,125,res_wcs,122.599507,1,57370.726197167656,66.96355020497916,23.61247087329202,55.945017,34.8817713,True,True,True,True,True
170e-6,1.0,ss,125,res_bcs,122.393651,1,39112.12226288515,53.87453005636634,29.89438768959521,53.6506281,34.4469934,True,True,True,True,True
170e-6,1.0,ss,125,res_wcs,122.599275,1,55883.5200046388,71.01154303287632,23.627952389256066,53.6430496,35.0738782,True,True,True,True,True
220e-6,1.2941176470588234,ss,125,res_bcs,122.393284,1,36944.968571228186,58.980571091800385,29.91626176150063,51.4346176,34.6131553,True,True,True,True,True
220e-6,1.2941176470588234,ss,125,res_wcs,122.598906,1,54936.54464539949,74.27226033908039,23.624468084236675,51.4342489,35.2132322,True,True,True,True,True
259e-6,1.5235294117647058,ss,125,res_bcs,122.392933,1,35843.05187719879,62.141535019189305,29.917113686475204,50.0193661,34.6976253,True,True,True,True,True
259e-6,1.5235294117647058,ss,125,res_wcs,122.598553,1,54504.198809717804,76.05171860250567,23.613567992209468,50.0259228,35.284274,True,True,True,True,True
340e-6,2.0,ss,125,res_bcs,122.392032,1,34471.55654827671,67.02891688617837,29.895115205804224,47.6693626,34.8091783,True,True,False,True,False
340e-6,2.0,ss,125,res_wcs,122.597648,1,54000.390219744164,78.52589570940998,23.578875932309952,47.6937082,35.3781964,True,True,False,True,False
