corner,temp_c,metric,unit,before,after_res_typ,after_res_bcs,after_res_wcs,after_min,after_max,delta_res_typ,delta_worst
tt,-40,dc_gain_db,dB,124.414362,124.458303,124.390625,124.499207,124.390625,124.499207,0.04394100000000378,0.08484500000000139
tt,-40,phase_margin_deg,deg,72.59899884839513,72.29840260853177,68.07983396387372,72.78879476550733,68.07983396387372,72.78879476550733,-0.3005962398633528,-4.519164884521402
tt,-40,gain_margin_db,dB,17.397799944022932,16.904594801864743,20.333193421508692,14.157165435126062,14.157165435126062,20.333193421508692,-0.4932051421581889,-3.2406345088968695
tt,-40,psrr_db_1khz,dB,61.7032466,61.7031732,61.7175265,61.6898879,61.6898879,61.7175265,-7.339999999800284e-05,0.014279899999998236
tt,-40,psrr_db_100khz,dB,35.1083157,35.0846612,33.2032444,36.7149263,33.2032444,36.7149263,-0.023654499999999246,-1.905071299999996
tt,-40,i_divider_a,uA,3.000414966666667e-06,2.46768146e-06,3.28967959e-06,1.97434796e-06,1.97434796e-06,3.28967959e-06,-5.327335066666668e-07,-1.0260670066666672e-06
tt,27,dc_gain_db,dB,123.784728,123.796571,123.709119,123.849517,123.709119,123.849517,0.011842999999998938,-0.07560900000000004
tt,27,phase_margin_deg,deg,68.56799844201848,68.40969661517668,59.97736638091145,72.34978318160886,59.97736638091145,72.34978318160886,-0.15830182684179306,-8.59063206110703
tt,27,gain_margin_db,dB,20.75665864179023,20.596696819421602,24.062553521457364,17.86189318459618,17.86189318459618,24.062553521457364,-0.15996182236862921,3.3058948796671324
tt,27,psrr_db_1khz,dB,60.2792099,60.2791798,60.2901832,60.2689623,60.2689623,60.2901832,-3.0099999996480165e-05,0.010973300000003405
tt,27,psrr_db_100khz,dB,33.8574489,33.8381667,32.6803591,34.9985591,32.6803591,34.9985591,-0.01928219999999925,-1.1770898000000045
tt,27,i_divider_a,uA,3.0005051833333335e-06,2.87129901e-06,3.82774283e-06,2.29727589e-06,2.29727589e-06,3.82774283e-06,-1.2920617333333353e-07,8.272376466666669e-07
tt,125,dc_gain_db,dB,122.16575,122.100759,121.974607,122.177453,121.974607,122.177453,-0.06499100000000624,-0.19114299999999673
tt,125,phase_margin_deg,deg,54.966322363556046,54.91296594414467,43.929005691275705,62.87476171301667,43.929005691275705,62.87476171301667,-0.05335641941137226,-11.03731667228034
tt,125,gain_margin_db,dB,25.503632064315106,25.900383712478074,29.387185335943247,23.213282317752473,23.213282317752473,29.387185335943247,0.3967516481629687,3.8835532716281413
tt,125,psrr_db_1khz,dB,58.3498207,58.3498302,58.3579045,58.342254,58.342254,58.3579045,9.499999997331088e-06,0.008083799999994312
tt,125,psrr_db_100khz,dB,34.0964136,34.0849544,33.7375198,34.5106326,33.7375198,34.5106326,-0.011459199999997338,0.4142190000000028
tt,125,i_divider_a,uA,3.0007760000000003e-06,3.61304785e-06,4.81653506e-06,2.89075978e-06,2.89075978e-06,4.81653506e-06,6.122718499999998e-07,1.8157590599999998e-06
ss,-40,dc_gain_db,dB,124.61716,124.661808,124.592986,124.703408,124.592986,124.703408,0.044647999999995136,0.08624799999999766
ss,-40,phase_margin_deg,deg,72.72207178180632,72.4341718032544,67.86594937833591,73.2457325857901,67.86594937833591,73.2457325857901,-0.28789997855191984,-4.856122403470408
ss,-40,gain_margin_db,dB,17.74244725564453,17.23742254494709,20.70258733563637,14.500832517107572,14.500832517107572,20.70258733563637,-0.505024710697441,-3.24161473853696
ss,-40,psrr_db_1khz,dB,61.5449074,61.5448402,61.5584968,61.5322487,61.5322487,61.5584968,-6.719999999660331e-05,0.013589400000000751
ss,-40,psrr_db_100khz,dB,35.0486365,35.0248629,33.2066965,36.6189159,33.2066965,36.6189159,-0.023773599999998396,-1.841940000000001
ss,-40,i_divider_a,uA,3.0003762833333335e-06,2.4676496e-06,3.28963719e-06,1.97432243e-06,1.97432243e-06,3.28963719e-06,-5.327266833333336e-07,-1.0260538533333333e-06
ss,27,dc_gain_db,dB,124.032223,124.044249,123.955475,124.098016,123.955475,124.098016,0.012025999999991654,-0.07674799999999493
ss,27,phase_margin_deg,deg,68.28078717848216,68.12716459082303,59.45581435022841,72.33363342058797,59.45581435022841,72.33363342058797,-0.15362258765912884,-8.824972828253749
ss,27,gain_margin_db,dB,21.081802895552126,20.96245246920507,24.417857170570958,18.196757810049647,18.196757810049647,24.417857170570958,-0.11935042634705795,3.3360542750188316
ss,27,psrr_db_1khz,dB,60.1270583,60.1270292,60.1374579,60.1173845,60.1173845,60.1374579,-2.9099999999004922e-05,0.01039959999999951
