corner,temp_c,res_section,phase_margin_deg_behavioural_divider,phase_margin_deg_rhigh_divider,phase_margin_deg_divider_delta,gain_margin_db_behavioural_divider,gain_margin_db_rhigh_divider,gain_margin_db_divider_delta,dc_gain_db_behavioural_divider,dc_gain_db_rhigh_divider,dc_gain_db_divider_delta
tt,-40,res_typ,72.5982425232526,72.29840260853177,-0.2998399147208204,17.39874703338647,16.904594801864743,-0.4941522315217277,124.414399,124.458303,0.04390399999999772
tt,-40,res_bcs,68.22281981988867,68.07983396387372,-0.1429858560149455,20.111654697266776,20.333193421508692,0.2215387242419169,124.414399,124.390625,-0.02377400000000307
tt,-40,res_wcs,73.29564319163491,72.78879476550733,-0.5068484261275756,15.298517679058275,14.157165435126062,-1.1413522439322126,124.414398,124.499207,0.0848089999999928
tt,27,res_typ,68.56598113790933,68.40969661517668,-0.1562845227326477,20.757595764784718,20.596696819421602,-0.16089894536311533,123.784728,123.796571,0.011842999999998938
tt,27,res_bcs,60.03777803461884,59.97736638091145,-0.060411653707390656,23.50186831672354,24.062553521457364,0.5606852047338222,123.784729,123.709119,-0.07560999999999751
tt,27,res_wcs,72.6159868439904,72.34978318160886,-0.26620366238154247,18.612987173872074,17.86189318459618,-0.7510939892758941,123.784728,123.849517,0.06478900000000465
tt,125,res_typ,54.962935610402596,54.91296594414467,-0.04996966625792254,25.504562910922964,25.900383712478074,0.3958208015551108,122.16575,122.100759,-0.06499100000000624
tt,125,res_bcs,43.92408893271141,43.929005691275705,0.0049167585642919676,28.23972747554967,29.387185335943247,1.1474578603935761,122.16575,121.974607,-0.19114299999999673
tt,125,res_wcs,62.98180962929844,62.87476171301667,-0.1070479162817719,23.31210863824735,23.213282317752473,-0.09882632049487583,122.165749,122.177453,0.011703999999994608
ss,-40,res_typ,72.72125477808304,72.4341718032544,-0.28708297482863543,17.743395550232954,17.23742254494709,-0.5059730052858633,124.61716,124.661808,0.044647999999995136
ss,-40,res_bcs,68.00399526115916,67.86594937833591,-0.13804588282324914,20.47675354287427,20.70258733563637,0.22583379276209925,124.617161,124.592986,-0.024174999999999613
ss,-40,res_wcs,73.72574536205538,73.2457325857901,-0.4800127762652835,15.623810154575914,14.500832517107572,-1.1229776374683418,124.61716,124.703408,0.08624799999999766
ss,27,res_typ,68.27857237819478,68.12716459082303,-0.15140778737175253,21.08274871883824,20.96245246920507,-0.12029624963317076,124.032223,124.044249,0.012025999999991654
ss,27,res_bcs,59.51356029917652,59.45581435022841,-0.057745948948110026,23.88798438212614,24.417857170570958,0.5298727884448162,124.032223,123.955475,-0.07674799999999493
ss,27,res_wcs,72.58920754199654,72.33363342058797,-0.2555741214085714,18.938769919292948,18.196757810049647,-0.7420121092433014,124.032222,124.098016,0.0657939999999968
ss,125,res_typ,54.39853408327322,54.349775026963215,-0.04875905631000421,25.871709219823668,26.237372782670057,0.36566356284638957,122.587778,122.521893,-0.06588499999999442
ss,125,res_bcs,43.348855659729224,43.35340409788475,0.004548438155524082,28.617078195399984,29.756321056327636,1.1392428609276521,122.587778,122.394017,-0.19376099999999497
ss,125,res_wcs,62.51982538517795,62.41588144468135,-0.10394394049660605,23.62387575746188,23.57142538212339,-0.052450375338491284,122.587777,122.599644,0.011866999999995187
ff,-40,res_typ,72.429953080057,72.12015807392599,-0.3097950061310115,17.06667092527126,16.540264382617806,-0.5264065426534543,124.153819,124.197,0.04318100000000413
ff,-40,res_bcs,68.40718502114709,68.25946612300433,-0.14771889814275596,19.758073400340635,19.974728009033488,0.2166546086928527,124.153819,124.130435,-0.023383999999992966
ff,-40,res_wcs,72.82776782794002,72.29445237708343,-0.5333154508565912,14.987019615520456,13.827145304245573,-1.1598743112748835,124.153818,124.237229,0.08341099999999813
ff,27,res_typ,68.76693156979485,68.6049130289002,-0.16201854089464973,20.407611286544643,20.239609388117,-0.16800189842764368,123.471345,123.483008,0.011662999999998647
ff,27,res_bcs,60.51071288632865,60.44868380819469,-0.062029078133960525,23.1226711078013,23.71696043717026,0.5942893293689622,123.471345,123.396894,-0.07445099999999627
ff,27,res_wcs,72.59760714949995,72.32359788122152,-0.27400926827843364,18.270822302615194,17.53896333415647,-0.7318589684587238,123.471344,123.535154,0.0638100000000037
ff,125,res_typ,55.50108748398954,55.44996810877571,-0.0511193752138297,25.13644732215219,25.574453275873864,0.4380059537216745,121.609557,121.545474,-0.06408299999999656
ff,125,res_bcs,44.47716797167507,44.4824865905116,0.005318618836525957,27.869296336978817,29.02412194531543,1.154825608336612,121.609558,121.421069,-0.18848900000000413
ff,125,res_wcs,63.41549589550752,63.30543290501109,-0.11006299049643076,22.997964846876272,22.864104037743587,-0.13386080913268472,121.609557,121.621097,0.011540000000010764
